note_names,chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,tonnetz
23. D1,0.20772271,786.7251713199531,1744.3766781215857,1153.4307065217392,0.011601987092391304,-0.046157021533934306
23. D1,0.20193355,717.3752299562641,1421.3624778757833,978.8245159646739,0.01179305366847826,-0.0361466201198159
23. D1,0.24265505,1126.004331714635,2749.1710482518843,1560.689113451087,0.014669667119565218,-0.008789894622250365
23. D1,0.24749303,870.8856659909345,2313.4436819631474,1039.2111073369565,0.012674082880434782,-0.024884611843258846
23. D1,0.23644745,763.7813525380855,1754.767864618365,967.1216881793479,0.014690896739130434,-0.03079337226261909
23. D1,0.24951337,1094.3536717699333,2134.5701950775633,2073.7410835597825,0.015593155570652174,-0.018781124146199268
23. D1,0.24292076,1156.5835116060264,2573.4029454330616,1792.8732167119565,0.015327785326086956,-0.02657367610680168
23. D1,0.2447991,854.6582735259528,1925.0290812483784,1139.8554262907608,0.012737771739130434,-0.02260712868259301
23. D1,0.24454786,638.460346318029,1539.874757952724,840.263034986413,0.011962890625,-0.042218362404843404
23. D1,0.25327715,661.9466776326942,1747.4911427985346,778.9402173913044,0.012472401494565218,-0.021777773397699908
23. D1,0.24927168,1003.7624391576934,1851.3359229953971,1783.5109544836957,0.013279127038043478,-0.0377808304973968
23. D1,0.22008604,667.8582238194557,1490.6847004226381,862.2643512228261,0.011856742527173914,-0.03064318743612648
23. D1,0.24650247,1466.1580853745502,1986.0453581146746,2909.7911005434785,0.016166355298913044,-0.03108154428832877
23. D1,0.2445368,2167.3615987264393,1943.9317397075476,3531.4453125,0.054952870244565216,-0.029539076898548917
23. D1,0.26650122,690.1466515850798,1830.243114563795,812.1762483016304,0.013809867527173914,-0.032010203555270025
23. D1,0.24914156,1059.8793817347193,2701.9687162120636,1387.4872622282608,0.011506453804347826,-0.036719076390267794
23. D1,0.25761968,786.4800389458472,1876.4945322002864,1009.2518682065217,0.013480808423913044,-0.027328823550934505
23. D1,0.2619979,668.4407657342929,1701.706615038546,686.7219344429348,0.01213272758152174,-0.0382440133307504
23. D1,0.25437766,951.7818823649568,2022.9183834125515,1462.3853600543478,0.013809867527173914,-0.032474377832353005
23. D1,0.22303514,1079.140963139576,1664.2671348324916,2088.720703125,0.016240658967391304,-0.034346527540324176
23. D1,0.2416014,975.8043438638314,1414.8250319045728,1925.8173403532608,0.014765200407608696,-0.027606930347127082
23. D1,0.24978709,966.0789485004639,1660.7477305656562,1787.255859375,0.013724949048913044,-0.032977904512614085
23. D1,0.22001214,1098.6449262507497,1899.2808628680998,1959.053371263587,0.016909391983695652,-0.04619689366239613
23. D1,0.26645622,1784.810287893695,1883.1161509138149,3188.318401834239,0.053296959918478264,-0.020770815116256943
23. D1,0.24914214,1060.71075018113,2703.9661743779475,1387.0191491168478,0.011506453804347826,-0.0367144016432132
23. D1,0.26541394,977.1620292508992,1571.9042771152754,1816.7469853940217,0.013141134510869566,-0.028904304147771186
23. D1,0.23253217,1034.7894637099268,1998.4413206821903,1780.7022758152175,0.012461786684782608,-0.04371093183051934
23. D1,0.2185122,699.5629643187825,1550.5507584456457,842.1354874320652,0.011655061141304348,-0.04748047538435109
23. D1,0.2729993,937.3287250389978,1970.5222970472983,1442.724609375,0.014096467391304348,-0.03489012507983628
